configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,1188542559.0764186
1,1,1,0,1,0,1,12011104.820839465
10,1,0,1,1,1,0,12759684.538297307
11,1,0,1,1,1,1,12897608.234046888
12,0,0,1,1,1,1,1188552814.8835053
13,1,0,1,0,1,1,12842299.158677945
14,0,1,1,1,0,0,1188126048.8628242
15,0,0,1,0,0,1,1187936580.0574574
16,1,1,1,1,0,1,12786905.809090847
17,0,1,0,1,0,1,1189412728.0602267
18,0,1,0,0,1,0,1388285023.4671535
19,0,1,0,0,0,1,1188140024.2979386
2,1,0,1,1,0,0,12796421.345845167
20,1,0,0,0,0,1,12695906.797256932
21,0,0,0,0,0,1,1188865263.890461
22,1,1,0,1,0,0,12620475.70312877
23,0,1,1,0,1,0,1188911215.3205
24,1,1,1,1,1,0,12751987.974448916
25,0,1,1,0,0,1,1188703296.114954
26,1,1,1,0,0,0,12639146.4039836
27,0,0,1,0,1,0,1189082896.7476752
28,1,0,0,0,1,0,12760272.16944431
29,1,1,0,0,1,1,12800757.713100785
3,1,0,1,0,0,0,13024665.50366971
4,1,1,1,1,1,1,12982368.451968092
5,1,0,0,1,1,1,12758124.82137748
6,1,0,0,1,0,1,12720158.673019756
7,0,0,0,1,1,1,1388712503.1133199
8,0,0,1,1,0,1,1187214037.2388678
9,0,1,1,1,1,1,1188970430.1983938
