configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,10.358442793736307
1,1,1,0,1,0,1,10.259193078973944
10,1,0,1,1,1,0,10.349336320299274
11,1,0,1,1,1,1,10.374994515032196
12,0,0,1,1,1,1,10.358273146012658
13,1,0,1,0,1,1,10.405736091261302
14,0,1,1,1,0,0,10.375318846030943
15,0,0,1,0,0,1,10.360882759890274
16,1,1,1,1,0,1,10.398899439497077
17,0,1,0,1,0,1,10.306006757809662
18,0,1,0,0,1,0,10.42184694203701
19,0,1,0,0,0,1,10.299567195868054
2,1,0,1,1,0,0,10.415058547045751
20,1,0,0,0,0,1,10.389522297930256
21,0,0,0,0,0,1,10.36947688871487
22,1,1,0,1,0,0,10.383280371064746
23,0,1,1,0,1,0,10.374160260517883
24,1,1,1,1,1,0,10.374159369263326
25,0,1,1,0,0,1,10.328447513202217
26,1,1,1,0,0,0,10.420542128020363
27,0,0,1,0,1,0,10.344411323974061
28,1,0,0,0,1,0,10.402096908005463
29,1,1,0,0,1,1,10.422126693993256
3,1,0,1,0,0,0,10.358152653098637
4,1,1,1,1,1,1,10.34860181049927
5,1,0,0,1,1,1,10.373015746790267
6,1,0,0,1,0,1,10.372531534856428
7,0,0,0,1,1,1,10.401770812805784
8,0,0,1,1,0,1,10.417056397501916
9,0,1,1,1,1,1,10.362473789223564
