configurationID,jitless,experimental-wasm-modules,experimental-vm-modules,preserve-symlinks-main,no-warnings,node-memory-debug,ops
0,0,0,0,0,0,0,0.013637731548919264
1,1,1,0,1,0,1,0.013734128399181979
10,1,0,1,1,1,0,0.01375242320717703
11,1,0,1,1,1,1,0.013661576171775065
12,0,0,1,1,1,1,0.013675721793055649
13,1,0,1,0,1,1,0.013651828316649907
14,0,1,1,1,0,0,0.013818269475181257
15,0,0,1,0,0,1,0.013606954765469477
16,1,1,1,1,0,1,0.013736360739676521
17,0,1,0,1,0,1,0.013761062079223164
18,0,1,0,0,1,0,0.01367478664556625
19,0,1,0,0,0,1,0.013730124921504909
2,1,0,1,1,0,0,0.01361417400464521
20,1,0,0,0,0,1,0.01356346172244617
21,0,0,0,0,0,1,0.013633649442467049
22,1,1,0,1,0,0,0.013683315048452941
23,0,1,1,0,1,0,0.013785293378616337
24,1,1,1,1,1,0,0.013673708110477531
25,0,1,1,0,0,1,0.013572317733551456
26,1,1,1,0,0,0,0.013655211161193974
27,0,0,1,0,1,0,0.013714458238824305
28,1,0,0,0,1,0,0.013599226424092059
29,1,1,0,0,1,1,0.013673059154401231
3,1,0,1,0,0,0,0.013685195604105756
4,1,1,1,1,1,1,0.013716441496398071
5,1,0,0,1,1,1,0.013813353415920356
6,1,0,0,1,0,1,0.013603150920462962
7,0,0,0,1,1,1,0.013633844215844916
8,0,0,1,1,0,1,0.013630178249142654
9,0,1,1,1,1,1,0.013576985878805752
