configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,3273914,5.489
1,tiff,1,1,0,1,3273889,5.434
10,png,1,0,1,1,3254946,8.78
11,png,1,0,0,1,3254956,8.859
12,png,0,1,0,0,8502352,26.027
13,png,0,0,0,0,8502331,25.97
14,png,0,0,0,1,8502369,26.161
15,png,0,1,1,0,8502319,26.048
2,tiff,1,0,1,1,3274010,5.451
3,tiff,1,0,0,1,3273965,5.46
4,tiff,0,1,0,0,10068915,6.178
5,tiff,0,0,0,0,10068889,6.173
6,tiff,0,0,0,1,10068784,6.188
7,tiff,0,1,1,0,10068833,6.164
8,png,1,1,1,1,3254954,8.9
9,png,1,1,0,1,3254946,8.835
