configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1536628,1.911
1,tiff,1,1,0,1,1536614,1.876
10,png,1,0,1,1,1615764,3.556
11,png,1,0,0,1,1615766,3.527
12,png,0,1,0,0,1843141,3.705
13,png,0,0,0,0,1843142,3.679
14,png,0,0,0,1,1843136,3.72
15,png,0,1,1,0,1843143,3.716
2,tiff,1,0,1,1,1536648,1.877
3,tiff,1,0,0,1,1536639,1.867
4,tiff,0,1,0,0,1795126,1.942
5,tiff,0,0,0,0,1794960,1.858
6,tiff,0,0,0,1,1794991,1.915
7,tiff,0,1,1,0,1794960,1.878
8,png,1,1,1,1,1615749,3.562
9,png,1,1,0,1,1615750,3.561
