configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1612688,1.33
1,tiff,1,1,0,1,1612665,1.345
10,png,1,0,1,1,1577748,3.068
11,png,1,0,0,1,1577738,3.09
12,png,0,1,0,0,2357334,5.084
13,png,0,0,0,0,2357327,5.089
14,png,0,0,0,1,2341675,4.928
15,png,0,1,1,0,2357333,5.1
2,tiff,1,0,1,1,1612752,1.38
3,tiff,1,0,0,1,1612670,1.301
4,tiff,0,1,0,0,2762005,1.393
5,tiff,0,0,0,0,2762054,1.448
6,tiff,0,0,0,1,2744985,1.367
7,tiff,0,1,1,0,2762554,1.414
8,png,1,1,1,1,1577767,3.088
9,png,1,1,0,1,1577754,3.093
