configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,15255461,8.211
1,tiff,1,1,0,1,15255329,8.311
10,png,1,0,1,1,15095088,24.965
11,png,1,0,0,1,15095100,24.954
12,png,0,1,0,0,14807421,31.689
13,png,0,0,0,0,14807415,31.636
14,png,0,0,0,1,14807400,31.797
15,png,0,1,1,0,14807419,31.513
2,tiff,1,0,1,1,15255269,8.285
3,tiff,1,0,0,1,15255315,8.263
4,tiff,0,1,0,0,14377224,8.769
5,tiff,0,0,0,0,14377063,8.811
6,tiff,0,0,0,1,14377320,8.757
7,tiff,0,1,1,0,14377378,8.862
8,png,1,1,1,1,15095101,25.015
9,png,1,1,0,1,15095077,24.943
