configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1205812,1.139
1,tiff,1,1,0,1,1205577,1.147
10,png,1,0,1,1,1349671,2.496
11,png,1,0,0,1,1349678,2.541
12,png,0,1,0,0,3177548,5.014
13,png,0,0,0,0,3177558,5.007
14,png,0,0,0,1,3178108,4.975
15,png,0,1,1,0,3177526,4.982
2,tiff,1,0,1,1,1205584,1.189
3,tiff,1,0,0,1,1205567,1.137
4,tiff,0,1,0,0,3875957,1.324
5,tiff,0,0,0,0,3875940,1.311
6,tiff,0,0,0,1,3876304,1.324
7,tiff,0,1,1,0,3875980,1.302
8,png,1,1,1,1,1349682,2.52
9,png,1,1,0,1,1349684,2.555
