configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2213138,4.173
1,tiff,1,1,0,1,2214668,4.14
10,png,1,0,1,1,1753355,8.208
11,png,1,0,0,1,1753256,8.216
12,png,0,1,0,0,1894320,8.309
13,png,0,0,0,0,1894279,8.241
14,png,0,0,0,1,1894298,8.303
15,png,0,1,1,0,1894292,8.337
2,tiff,1,0,1,1,2214512,4.208
3,tiff,1,0,0,1,2213421,4.184
4,tiff,0,1,0,0,2400688,4.155
5,tiff,0,0,0,0,2401029,4.151
6,tiff,0,0,0,1,2401094,4.266
7,tiff,0,1,1,0,2400451,4.179
8,png,1,1,1,1,1753321,8.239
9,png,1,1,0,1,1753423,8.199
