configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,6362666,6.084
1,tiff,1,1,0,1,6362662,6.093
10,png,1,0,1,1,6662473,12.301
11,png,1,0,0,1,6662458,12.382
12,png,0,1,0,0,10652039,32.086
13,png,0,0,0,0,10651956,31.945
14,png,0,0,0,1,10652001,31.862
15,png,0,1,1,0,10651934,32.021
2,tiff,1,0,1,1,6362681,6.131
3,tiff,1,0,0,1,6362670,6.094
4,tiff,0,1,0,0,11409717,9.393
5,tiff,0,0,0,0,11409607,9.267
6,tiff,0,0,0,1,11408959,9.359
7,tiff,0,1,1,0,11409695,9.775
8,png,1,1,1,1,6662475,12.423
9,png,1,1,0,1,6662452,12.376
