configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,175422,0.203
1,tiff,1,1,0,1,175422,0.204
10,png,1,0,1,1,169392,0.2
11,png,1,0,0,1,169392,0.205
12,png,0,1,0,0,1185032,2.889
13,png,0,0,0,0,1185055,2.908
14,png,0,0,0,1,1184899,2.884
15,png,0,1,1,0,1185034,2.882
2,tiff,1,0,1,1,175422,0.173
3,tiff,1,0,0,1,175488,0.198
4,tiff,0,1,0,0,1698401,0.37
5,tiff,0,0,0,0,1698443,0.371
6,tiff,0,0,0,1,1696524,0.349
7,tiff,0,1,1,0,1698436,0.35
8,png,1,1,1,1,169393,0.202
9,png,1,1,0,1,169393,0.201
