configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,739159,1.701
1,tiff,1,1,0,1,739164,1.693
10,png,1,0,1,1,739163,1.736
11,png,1,0,0,1,739163,1.748
12,png,0,1,0,0,3168071,5.433
13,png,0,0,0,0,3168071,5.41
14,png,0,0,0,1,3168072,5.412
15,png,0,1,1,0,3168067,5.438
2,tiff,1,0,1,1,739162,1.735
3,tiff,1,0,0,1,739159,1.697
4,tiff,0,1,0,0,4807628,1.879
5,tiff,0,0,0,0,4807708,1.813
6,tiff,0,0,0,1,4807711,1.815
7,tiff,0,1,1,0,4807636,1.821
8,png,1,1,1,1,739164,1.705
9,png,1,1,0,1,739162,1.734
