configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1612645,1.362
1,tiff,1,1,0,1,1612650,1.341
10,png,1,0,1,1,1577743,3.117
11,png,1,0,0,1,1577734,3.151
12,png,0,1,0,0,2357330,5.046
13,png,0,0,0,0,2357329,5.042
14,png,0,0,0,1,2341667,4.873
15,png,0,1,1,0,2357325,5.086
2,tiff,1,0,1,1,1612666,1.342
3,tiff,1,0,0,1,1612677,1.342
4,tiff,0,1,0,0,2762479,1.439
5,tiff,0,0,0,0,2761906,1.4
6,tiff,0,0,0,1,2745010,1.394
7,tiff,0,1,1,0,2761965,1.432
8,png,1,1,1,1,1577738,3.114
9,png,1,1,0,1,1577774,3.113
