configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,3273984,0m5.478s
1,tiff,1,1,0,1,3274026,0m5.479s
10,png,1,0,1,1,3254927,0m8.845s
11,png,1,0,0,1,3254929,0m8.864s
12,png,0,1,0,0,8502323,0m25.987s
13,png,0,0,0,0,8502342,0m26.175s
14,png,0,0,0,1,8502371,0m26.103s
15,png,0,1,1,0,8502344,0m26.206s
2,tiff,1,0,1,1,3273999,0m5.461s
3,tiff,1,0,0,1,3274059,0m5.462s
4,tiff,0,1,0,0,10068915,0m6.187s
5,tiff,0,0,0,0,10068953,0m6.199s
6,tiff,0,0,0,1,10068927,0m6.225s
7,tiff,0,1,1,0,10068903,0m6.156s
8,png,1,1,1,1,3254961,0m8.868s
9,png,1,1,0,1,3254956,0m8.800s
