configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,15255236,8.323
1,tiff,1,1,0,1,15255093,8.394
10,png,1,0,1,1,15095100,24.841
11,png,1,0,0,1,15095095,24.861
12,png,0,1,0,0,14807386,31.655
13,png,0,0,0,0,14807394,31.661
14,png,0,0,0,1,14807408,31.634
15,png,0,1,1,0,14807400,31.611
2,tiff,1,0,1,1,15255265,8.306
3,tiff,1,0,0,1,15255202,8.352
4,tiff,0,1,0,0,14377030,9.033
5,tiff,0,0,0,0,14377642,8.854
6,tiff,0,0,0,1,14377010,8.884
7,tiff,0,1,1,0,14377615,8.87
8,png,1,1,1,1,15095073,24.885
9,png,1,1,0,1,15095056,24.988
