configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3001844,2.639
1,50%,xz,-3,1,3001844,2.634
10,100%,xz,-9,1,2750272,5.288
11,50%,lzma,-6,16,2749760,5.191
12,75%,xz,-3,32,3001844,2.655
13,50%,lzma,-3,16,3001334,2.604
14,50%,lzma,-6,32,2749760,5.137
15,50%,xz,-6,32,2750228,5.171
16,75%,lzma,-3,16,3001334,2.593
17,75%,lzma,-6,32,2749760,5.151
18,100%,lzma,-6,1,2749760,5.138
19,75%,lzma,-3,1,3001334,2.633
2,75%,xz,-9,16,2750272,5.286
20,75%,lzma,-6,1,2749760,5.141
21,75%,lzma,-6,16,2749760,5.156
22,100%,xz,-9,32,2750272,5.234
23,100%,xz,-9,16,2750272,5.293
24,50%,lzma,-9,32,2749803,5.276
25,50%,lzma,-3,32,3001334,2.651
26,100%,xz,-3,1,3001844,2.644
27,100%,lzma,-9,16,2749803,5.215
28,100%,lzma,-3,1,3001334,2.635
29,50%,lzma,-6,1,2749760,5.17
3,100%,xz,-6,32,2750228,5.178
4,50%,lzma,-3,1,3001334,2.642
5,75%,xz,-3,1,3001844,2.635
6,100%,lzma,-6,16,2749760,5.159
7,75%,xz,-6,32,2750228,5.157
8,50%,xz,-3,32,3001844,2.656
9,75%,xz,-9,32,2750272,5.275
