configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,1677984,1.709
1,50%,xz,-3,1,1677976,1.695
10,100%,xz,-9,1,1317152,4.784
11,50%,lzma,-6,16,1316901,4.74
12,75%,xz,-3,32,1677984,1.693
13,50%,lzma,-3,16,1677670,1.669
14,50%,lzma,-6,32,1316901,4.707
15,50%,xz,-6,32,1317160,4.737
16,75%,lzma,-3,16,1677670,1.693
17,75%,lzma,-6,32,1316901,4.704
18,100%,lzma,-6,1,1316901,4.704
19,75%,lzma,-3,1,1677670,1.681
2,75%,xz,-9,16,1317160,4.801
20,75%,lzma,-6,1,1316901,4.755
21,75%,lzma,-6,16,1316901,4.697
22,100%,xz,-9,32,1317160,4.84
23,100%,xz,-9,16,1317160,4.834
24,50%,lzma,-9,32,1316901,4.751
25,50%,lzma,-3,32,1677670,1.704
26,100%,xz,-3,1,1677976,1.717
27,100%,lzma,-9,16,1316901,4.779
28,100%,lzma,-3,1,1677670,1.68
29,50%,lzma,-6,1,1316901,4.717
3,100%,xz,-6,32,1317160,4.754
4,50%,lzma,-3,1,1677670,1.69
5,75%,xz,-3,1,1677976,1.682
6,100%,lzma,-6,16,1316901,4.711
7,75%,xz,-6,32,1317160,4.741
8,50%,xz,-3,32,1677984,1.724
9,75%,xz,-9,32,1317160,4.833
