configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3382420,4.113
1,50%,xz,-3,1,3382412,4.069
10,100%,xz,-9,1,2830604,8.522
11,50%,lzma,-6,16,2831189,8.478
12,75%,xz,-3,32,3382420,4.074
13,50%,lzma,-3,16,3381840,4.029
14,50%,lzma,-6,32,2831189,8.326
15,50%,xz,-6,32,2831684,8.368
16,75%,lzma,-3,16,3381840,4.047
17,75%,lzma,-6,32,2831189,8.286
18,100%,lzma,-6,1,2831189,8.332
19,75%,lzma,-3,1,3381840,4.054
2,75%,xz,-9,16,2830612,8.458
20,75%,lzma,-6,1,2831189,8.309
21,75%,lzma,-6,16,2831189,8.272
22,100%,xz,-9,32,2830612,8.476
23,100%,xz,-9,16,2830612,8.459
24,50%,lzma,-9,32,2830116,8.384
25,50%,lzma,-3,32,3381840,4.07
26,100%,xz,-3,1,3382412,4.066
27,100%,lzma,-9,16,2830116,8.429
28,100%,lzma,-3,1,3381840,4.08
29,50%,lzma,-6,1,2831189,8.341
3,100%,xz,-6,32,2831684,8.298
4,50%,lzma,-3,1,3381840,4.037
5,75%,xz,-3,1,3382412,4.068
6,100%,lzma,-6,16,2831189,8.287
7,75%,xz,-6,32,2831684,8.3
8,50%,xz,-3,32,3382420,4.095
9,75%,xz,-9,32,2830612,8.492
