configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,14838428,3.178
1,50%,xz,-3,1,14777004,9.969
10,100%,xz,-9,1,13374160,28.608
11,50%,lzma,-6,16,13497551,25.704
12,75%,xz,-3,32,14838428,3.198
13,50%,lzma,-3,16,14775082,9.828
14,50%,lzma,-6,32,13497551,25.65
15,50%,xz,-6,32,13577880,13.593
16,75%,lzma,-3,16,14775082,9.829
17,75%,lzma,-6,32,13497551,25.605
18,100%,lzma,-6,1,13497551,25.824
19,75%,lzma,-3,1,14775082,9.945
2,75%,xz,-9,16,13374168,28.648
20,75%,lzma,-6,1,13497551,25.675
21,75%,lzma,-6,16,13497551,25.953
22,100%,xz,-9,32,13374168,28.646
23,100%,xz,-9,16,13374168,28.615
24,50%,lzma,-9,32,13365111,28.894
25,50%,lzma,-3,32,14775082,9.84
26,100%,xz,-3,1,14777004,9.95
27,100%,lzma,-9,16,13365111,28.595
28,100%,lzma,-3,1,14775082,9.841
29,50%,lzma,-6,1,13497551,25.794
3,100%,xz,-6,32,13577880,13.373
4,50%,lzma,-3,1,14775082,9.897
5,75%,xz,-3,1,14777004,9.96
6,100%,lzma,-6,16,13497551,25.715
7,75%,xz,-6,32,13577880,13.563
8,50%,xz,-3,32,14838428,3.264
9,75%,xz,-9,32,13374168,28.561
