configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,2149748,1.228
1,50%,xz,-3,1,2131652,2.496
10,100%,xz,-9,1,1738884,11.64
11,50%,lzma,-6,16,1778958,11.231
12,75%,xz,-3,32,2149748,1.256
13,50%,lzma,-3,16,2131278,2.475
14,50%,lzma,-6,32,1778958,11.264
15,50%,xz,-6,32,1797072,8.406
16,75%,lzma,-3,16,2131278,2.471
17,75%,lzma,-6,32,1778958,11.3
18,100%,lzma,-6,1,1778958,11.379
19,75%,lzma,-3,1,2131278,2.508
2,75%,xz,-9,16,1738892,11.573
20,75%,lzma,-6,1,1778958,11.37
21,75%,lzma,-6,16,1778958,11.29
22,100%,xz,-9,32,1738892,11.57
23,100%,xz,-9,16,1738892,11.557
24,50%,lzma,-9,32,1738572,11.545
25,50%,lzma,-3,32,2131278,2.504
26,100%,xz,-3,1,2131652,2.57
27,100%,lzma,-9,16,1738572,11.481
28,100%,lzma,-3,1,2131278,2.536
29,50%,lzma,-6,1,1778958,11.408
3,100%,xz,-6,32,1797072,8.419
4,50%,lzma,-3,1,2131278,2.503
5,75%,xz,-3,1,2131652,2.484
6,100%,lzma,-6,16,1778958,11.252
7,75%,xz,-6,32,1797072,8.395
8,50%,xz,-3,32,2149748,1.254
9,75%,xz,-9,32,1738892,11.493
