configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,4244480,3.075
1,50%,xz,-3,1,4244480,3.079
10,100%,xz,-9,1,3763616,8.403
11,50%,lzma,-6,16,3786768,8.071
12,75%,xz,-3,32,4244480,3.104
13,50%,lzma,-3,16,4243773,3.025
14,50%,lzma,-6,32,3786768,8.039
15,50%,xz,-6,32,3787400,8.075
16,75%,lzma,-3,16,4243773,3.027
17,75%,lzma,-6,32,3786768,8.0
18,100%,lzma,-6,1,3786768,8.08
19,75%,lzma,-3,1,4243773,3.016
2,75%,xz,-9,16,3763616,8.44
20,75%,lzma,-6,1,3786768,8.123
21,75%,lzma,-6,16,3786768,8.094
22,100%,xz,-9,32,3763616,8.399
23,100%,xz,-9,16,3763616,8.46
24,50%,lzma,-9,32,3762987,8.377
25,50%,lzma,-3,32,4243773,3.044
26,100%,xz,-3,1,4244480,3.051
27,100%,lzma,-9,16,3762987,8.388
28,100%,lzma,-3,1,4243773,3.051
29,50%,lzma,-6,1,3786768,8.036
3,100%,xz,-6,32,3787400,8.065
4,50%,lzma,-3,1,4243773,3.013
5,75%,xz,-3,1,4244480,3.122
6,100%,lzma,-6,16,3786768,8.104
7,75%,xz,-6,32,3787400,8.111
8,50%,xz,-3,32,4244480,3.079
9,75%,xz,-9,32,3763616,8.376
