configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,4853736,2.828
1,50%,xz,-3,1,4853736,2.828
10,100%,xz,-9,1,4415072,3.573
11,50%,lzma,-6,16,4414351,3.662
12,75%,xz,-3,32,4853736,2.83
13,50%,lzma,-3,16,4852943,2.803
14,50%,lzma,-6,32,4414351,3.618
15,50%,xz,-6,32,4415072,3.653
16,75%,lzma,-3,16,4852943,2.826
17,75%,lzma,-6,32,4414351,3.655
18,100%,lzma,-6,1,4414351,3.646
19,75%,lzma,-3,1,4852943,2.816
2,75%,xz,-9,16,4415072,3.555
20,75%,lzma,-6,1,4414351,3.634
21,75%,lzma,-6,16,4414351,3.636
22,100%,xz,-9,32,4415072,3.561
23,100%,xz,-9,16,4415072,3.593
24,50%,lzma,-9,32,4414351,3.589
25,50%,lzma,-3,32,4852943,2.825
26,100%,xz,-3,1,4853736,2.844
27,100%,lzma,-9,16,4414351,3.55
28,100%,lzma,-3,1,4852943,2.835
29,50%,lzma,-6,1,4414351,3.617
3,100%,xz,-6,32,4415072,3.616
4,50%,lzma,-3,1,4852943,2.82
5,75%,xz,-3,1,4853736,2.86
6,100%,lzma,-6,16,4414351,3.629
7,75%,xz,-6,32,4415072,3.627
8,50%,xz,-3,32,4853736,2.835
9,75%,xz,-9,32,4415072,3.529
