configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,2618072,1.827
1,50%,xz,-3,1,2618064,1.818
10,100%,xz,-9,1,2426816,2.986
11,50%,lzma,-6,16,2426397,2.925
12,75%,xz,-3,32,2618072,1.82
13,50%,lzma,-3,16,2617615,1.807
14,50%,lzma,-6,32,2426397,2.921
15,50%,xz,-6,32,2426824,2.973
16,75%,lzma,-3,16,2617615,1.814
17,75%,lzma,-6,32,2426397,2.963
18,100%,lzma,-6,1,2426397,2.92
19,75%,lzma,-3,1,2617615,1.822
2,75%,xz,-9,16,2426824,2.987
20,75%,lzma,-6,1,2426397,2.98
21,75%,lzma,-6,16,2426397,2.925
22,100%,xz,-9,32,2426824,3.006
23,100%,xz,-9,16,2426824,2.998
24,50%,lzma,-9,32,2426397,2.966
25,50%,lzma,-3,32,2617615,1.79
26,100%,xz,-3,1,2618064,1.784
27,100%,lzma,-9,16,2426397,2.97
28,100%,lzma,-3,1,2617615,1.782
29,50%,lzma,-6,1,2426397,2.918
3,100%,xz,-6,32,2426824,2.955
4,50%,lzma,-3,1,2617615,1.811
5,75%,xz,-3,1,2618064,1.786
6,100%,lzma,-6,16,2426397,2.974
7,75%,xz,-6,32,2426824,2.981
8,50%,xz,-3,32,2618072,1.818
9,75%,xz,-9,32,2426824,3.001
