configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,4914804,3.45
1,50%,xz,-3,1,4914796,3.498
10,100%,xz,-9,1,4489868,4.311
11,50%,lzma,-6,16,4489170,4.337
12,75%,xz,-3,32,4914804,3.526
13,50%,lzma,-3,16,4913990,3.479
14,50%,lzma,-6,32,4489170,4.346
15,50%,xz,-6,32,4489920,4.317
16,75%,lzma,-3,16,4913990,3.504
17,75%,lzma,-6,32,4489170,4.272
18,100%,lzma,-6,1,4489170,4.28
19,75%,lzma,-3,1,4913990,3.512
2,75%,xz,-9,16,4489876,4.34
20,75%,lzma,-6,1,4489170,4.274
21,75%,lzma,-6,16,4489170,4.273
22,100%,xz,-9,32,4489876,4.335
23,100%,xz,-9,16,4489876,4.325
24,50%,lzma,-9,32,4489124,4.301
25,50%,lzma,-3,32,4913990,3.484
26,100%,xz,-3,1,4914796,3.468
27,100%,lzma,-9,16,4489124,4.32
28,100%,lzma,-3,1,4913990,3.502
29,50%,lzma,-6,1,4489170,4.334
3,100%,xz,-6,32,4489920,4.294
4,50%,lzma,-3,1,4913990,3.486
5,75%,xz,-3,1,4914796,3.477
6,100%,lzma,-6,16,4489170,4.346
7,75%,xz,-6,32,4489920,4.311
8,50%,xz,-3,32,4914804,3.51
9,75%,xz,-9,32,4489876,4.32
