configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,515648,0.491
1,50%,xz,-3,1,515648,0.463
10,100%,xz,-9,1,453260,1.598
11,50%,lzma,-6,16,453144,1.533
12,75%,xz,-3,32,515648,0.486
13,50%,lzma,-3,16,515524,0.444
14,50%,lzma,-6,32,453144,1.524
15,50%,xz,-6,32,453260,1.544
16,75%,lzma,-3,16,515524,0.472
17,75%,lzma,-6,32,453144,1.536
18,100%,lzma,-6,1,453144,1.529
19,75%,lzma,-3,1,515524,0.469
2,75%,xz,-9,16,453260,1.568
20,75%,lzma,-6,1,453144,1.557
21,75%,lzma,-6,16,453144,1.524
22,100%,xz,-9,32,453260,1.601
23,100%,xz,-9,16,453260,1.566
24,50%,lzma,-9,32,453144,1.552
25,50%,lzma,-3,32,515524,0.448
26,100%,xz,-3,1,515648,0.496
27,100%,lzma,-9,16,453144,1.559
28,100%,lzma,-3,1,515524,0.446
29,50%,lzma,-6,1,453144,1.548
3,100%,xz,-6,32,453260,1.552
4,50%,lzma,-3,1,515524,0.477
5,75%,xz,-3,1,515648,0.464
6,100%,lzma,-6,16,453144,1.561
7,75%,xz,-6,32,453260,1.55
8,50%,xz,-3,32,515648,0.472
9,75%,xz,-9,32,453260,1.57
