configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,10362252,12.634
1,50%,xz,-3,1,10362252,12.901
10,100%,xz,-9,1,8385868,36.435
11,50%,lzma,-6,16,8627467,31.846
12,75%,xz,-3,32,10362252,12.63
13,50%,lzma,-3,16,10360607,12.747
14,50%,lzma,-6,32,8627467,31.724
15,50%,xz,-6,32,8628848,31.651
16,75%,lzma,-3,16,10360607,12.555
17,75%,lzma,-6,32,8627467,31.693
18,100%,lzma,-6,1,8627467,31.769
19,75%,lzma,-3,1,10360607,12.744
2,75%,xz,-9,16,8385868,36.319
20,75%,lzma,-6,1,8627467,31.718
21,75%,lzma,-6,16,8627467,31.834
22,100%,xz,-9,32,8385868,36.28
23,100%,xz,-9,16,8385868,36.404
24,50%,lzma,-9,32,8384529,36.231
25,50%,lzma,-3,32,10360607,12.63
26,100%,xz,-3,1,10362252,12.619
27,100%,lzma,-9,16,8384529,36.334
28,100%,lzma,-3,1,10360607,12.686
29,50%,lzma,-6,1,8627467,31.859
3,100%,xz,-6,32,8628848,31.776
4,50%,lzma,-3,1,10360607,12.683
5,75%,xz,-3,1,10362252,12.642
6,100%,lzma,-6,16,8627467,31.831
7,75%,xz,-6,32,8628848,31.81
8,50%,xz,-3,32,10362252,12.652
9,75%,xz,-9,32,8385868,36.183
