configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3272448,2.3
1,50%,xz,-3,1,3272440,2.27
10,100%,xz,-9,1,2849908,5.527
11,50%,lzma,-6,16,2849620,5.437
12,75%,xz,-3,32,3272448,2.289
13,50%,lzma,-3,16,3271884,2.251
14,50%,lzma,-6,32,2849620,5.465
15,50%,xz,-6,32,2850112,5.513
16,75%,lzma,-3,16,3271884,2.252
17,75%,lzma,-6,32,2849620,5.472
18,100%,lzma,-6,1,2849620,5.516
19,75%,lzma,-3,1,3271884,2.258
2,75%,xz,-9,16,2849916,5.558
20,75%,lzma,-6,1,2849620,5.514
21,75%,lzma,-6,16,2849620,5.462
22,100%,xz,-9,32,2849916,5.58
23,100%,xz,-9,16,2849916,5.555
24,50%,lzma,-9,32,2849422,5.53
25,50%,lzma,-3,32,3271884,2.245
26,100%,xz,-3,1,3272440,2.299
27,100%,lzma,-9,16,2849422,5.526
28,100%,lzma,-3,1,3271884,2.237
29,50%,lzma,-6,1,2849620,5.444
3,100%,xz,-6,32,2850112,5.489
4,50%,lzma,-3,1,3271884,2.248
5,75%,xz,-3,1,3272440,2.282
6,100%,lzma,-6,16,2849620,5.448
7,75%,xz,-6,32,2850112,5.453
8,50%,xz,-3,32,3272448,2.268
9,75%,xz,-9,32,2849916,5.595
