configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,2618072,1.839
1,50%,xz,-3,1,2618064,1.824
10,100%,xz,-9,1,2426816,2.956
11,50%,lzma,-6,16,2426397,2.936
12,75%,xz,-3,32,2618072,1.829
13,50%,lzma,-3,16,2617615,1.808
14,50%,lzma,-6,32,2426397,2.954
15,50%,xz,-6,32,2426824,2.936
16,75%,lzma,-3,16,2617615,1.808
17,75%,lzma,-6,32,2426397,2.941
18,100%,lzma,-6,1,2426397,2.997
19,75%,lzma,-3,1,2617615,1.813
2,75%,xz,-9,16,2426824,3.119
20,75%,lzma,-6,1,2426397,2.925
21,75%,lzma,-6,16,2426397,2.965
22,100%,xz,-9,32,2426824,2.999
23,100%,xz,-9,16,2426824,2.994
24,50%,lzma,-9,32,2426397,2.962
25,50%,lzma,-3,32,2617615,1.77
26,100%,xz,-3,1,2618064,1.817
27,100%,lzma,-9,16,2426397,2.95
28,100%,lzma,-3,1,2617615,1.803
29,50%,lzma,-6,1,2426397,2.923
3,100%,xz,-6,32,2426824,2.942
4,50%,lzma,-3,1,2617615,1.784
5,75%,xz,-3,1,2618064,1.81
6,100%,lzma,-6,16,2426397,2.976
7,75%,xz,-6,32,2426824,2.969
8,50%,xz,-3,32,2618072,1.823
9,75%,xz,-9,32,2426824,3.0
