configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,1677984,1.691
1,50%,xz,-3,1,1677976,1.678
10,100%,xz,-9,1,1317152,4.887
11,50%,lzma,-6,16,1316901,4.843
12,75%,xz,-3,32,1677984,1.711
13,50%,lzma,-3,16,1677670,1.699
14,50%,lzma,-6,32,1316901,4.823
15,50%,xz,-6,32,1317160,4.819
16,75%,lzma,-3,16,1677670,1.663
17,75%,lzma,-6,32,1316901,4.854
18,100%,lzma,-6,1,1316901,4.859
19,75%,lzma,-3,1,1677670,1.689
2,75%,xz,-9,16,1317160,4.915
20,75%,lzma,-6,1,1316901,4.834
21,75%,lzma,-6,16,1316901,4.845
22,100%,xz,-9,32,1317160,4.899
23,100%,xz,-9,16,1317160,4.929
24,50%,lzma,-9,32,1316901,4.9
25,50%,lzma,-3,32,1677670,1.689
26,100%,xz,-3,1,1677976,1.72
27,100%,lzma,-9,16,1316901,4.966
28,100%,lzma,-3,1,1677670,1.737
29,50%,lzma,-6,1,1316901,4.843
3,100%,xz,-6,32,1317160,4.816
4,50%,lzma,-3,1,1677670,1.697
5,75%,xz,-3,1,1677976,1.682
6,100%,lzma,-6,16,1316901,4.837
7,75%,xz,-6,32,1317160,4.856
8,50%,xz,-3,32,1677984,1.725
9,75%,xz,-9,32,1317160,4.932
