configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1536666,0m1.869s
1,tiff,1,1,0,1,1536663,0m1.871s
10,png,1,0,1,1,1615758,0m3.576s
11,png,1,0,0,1,1615762,0m3.564s
12,png,0,1,0,0,1843142,0m3.694s
13,png,0,0,0,0,1843156,0m3.664s
14,png,0,0,0,1,1843164,0m3.677s
15,png,0,1,1,0,1843181,0m3.718s
2,tiff,1,0,1,1,1536653,0m1.854s
3,tiff,1,0,0,1,1536642,0m1.901s
4,tiff,0,1,0,0,1795112,0m1.839s
5,tiff,0,0,0,0,1795111,0m1.878s
6,tiff,0,0,0,1,1795108,0m1.840s
7,tiff,0,1,1,0,1795143,0m1.839s
8,png,1,1,1,1,1615763,0m3.551s
9,png,1,1,0,1,1615757,0m3.531s
