configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,739164,0m1.693s
1,tiff,1,1,0,1,739164,0m1.711s
10,png,1,0,1,1,739162,0m1.739s
11,png,1,0,0,1,739165,0m1.722s
12,png,0,1,0,0,3168073,0m5.424s
13,png,0,0,0,0,3168070,0m5.434s
14,png,0,0,0,1,3168071,0m5.426s
15,png,0,1,1,0,3168071,0m5.414s
2,tiff,1,0,1,1,739164,0m1.696s
3,tiff,1,0,0,1,739164,0m1.729s
4,tiff,0,1,0,0,4807626,0m1.839s
5,tiff,0,0,0,0,4807712,0m1.836s
6,tiff,0,0,0,1,4807710,0m1.805s
7,tiff,0,1,1,0,4807688,0m1.854s
8,png,1,1,1,1,739164,0m1.715s
9,png,1,1,0,1,739165,0m1.695s
