configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,3273977,0m5.450s
1,tiff,1,1,0,1,3273986,0m5.563s
10,png,1,0,1,1,3254957,0m8.799s
11,png,1,0,0,1,3254951,0m8.809s
12,png,0,1,0,0,8502364,0m26.069s
13,png,0,0,0,0,8502340,0m26.027s
14,png,0,0,0,1,8502336,0m26.133s
15,png,0,1,1,0,8502352,0m26.039s
2,tiff,1,0,1,1,3273966,0m5.474s
3,tiff,1,0,0,1,3273987,0m5.472s
4,tiff,0,1,0,0,10068888,0m6.188s
5,tiff,0,0,0,0,10068821,0m6.169s
6,tiff,0,0,0,1,10068919,0m6.259s
7,tiff,0,1,1,0,10068894,0m6.166s
8,png,1,1,1,1,3254932,0m8.846s
9,png,1,1,0,1,3254934,0m9.212s
