configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,175432,0m0.186s
1,tiff,1,1,0,1,175432,0m0.173s
10,png,1,0,1,1,169451,0m0.203s
11,png,1,0,0,1,169394,0m0.173s
12,png,0,1,0,0,1185032,0m2.926s
13,png,0,0,0,0,1185051,0m2.864s
14,png,0,0,0,1,1184915,0m2.908s
15,png,0,1,1,0,1185030,0m2.868s
2,tiff,1,0,1,1,175433,0m0.196s
3,tiff,1,0,0,1,175433,0m0.171s
4,tiff,0,1,0,0,1698452,0m0.363s
5,tiff,0,0,0,0,1698335,0m0.341s
6,tiff,0,0,0,1,1696995,0m0.338s
7,tiff,0,1,1,0,1698331,0m0.366s
8,png,1,1,1,1,169421,0m0.173s
9,png,1,1,0,1,169390,0m0.201s
