configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,6362663,0m6.093s
1,tiff,1,1,0,1,6362653,0m6.046s
10,png,1,0,1,1,6662467,0m12.292s
11,png,1,0,0,1,6662494,0m12.255s
12,png,0,1,0,0,10651986,0m31.829s
13,png,0,0,0,0,10651940,0m31.821s
14,png,0,0,0,1,10652011,0m32.010s
15,png,0,1,1,0,10651987,0m31.895s
2,tiff,1,0,1,1,6362668,0m6.096s
3,tiff,1,0,0,1,6362661,0m6.134s
4,tiff,0,1,0,0,11409988,0m9.284s
5,tiff,0,0,0,0,11409260,0m9.289s
6,tiff,0,0,0,1,11410005,0m9.244s
7,tiff,0,1,1,0,11409265,0m9.401s
8,png,1,1,1,1,6662742,0m12.306s
9,png,1,1,0,1,6662491,0m12.299s
