configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1612696,0m1.314s
1,tiff,1,1,0,1,1612677,0m1.308s
10,png,1,0,1,1,1577738,0m3.110s
11,png,1,0,0,1,1577753,0m3.109s
12,png,0,1,0,0,2357339,0m5.078s
13,png,0,0,0,0,2357326,0m5.109s
14,png,0,0,0,1,2341672,0m4.903s
15,png,0,1,1,0,2357340,0m5.061s
2,tiff,1,0,1,1,1612695,0m1.336s
3,tiff,1,0,0,1,1612750,0m1.392s
4,tiff,0,1,0,0,2762580,0m1.406s
5,tiff,0,0,0,0,2762043,0m1.428s
6,tiff,0,0,0,1,2744991,0m1.423s
7,tiff,0,1,1,0,2762036,0m1.405s
8,png,1,1,1,1,1577763,0m3.076s
9,png,1,1,0,1,1577754,0m3.110s
