configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,2213358,0m4.181s
1,tiff,1,1,0,1,2213330,0m4.238s
10,png,1,0,1,1,1753286,0m8.172s
11,png,1,0,0,1,1753348,0m8.158s
12,png,0,1,0,0,1894302,0m8.281s
13,png,0,0,0,0,1894424,0m8.299s
14,png,0,0,0,1,1894355,0m8.260s
15,png,0,1,1,0,1894387,0m8.227s
2,tiff,1,0,1,1,2213324,0m4.227s
3,tiff,1,0,0,1,2214594,0m4.138s
4,tiff,0,1,0,0,2401028,0m4.156s
5,tiff,0,0,0,0,2401287,0m4.247s
6,tiff,0,0,0,1,2401112,0m4.186s
7,tiff,0,1,1,0,2400461,0m4.215s
8,png,1,1,1,1,1753333,0m8.166s
9,png,1,1,0,1,1753267,0m8.193s
