configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,1205613,0m1.169s
1,tiff,1,1,0,1,1205632,0m1.137s
10,png,1,0,1,1,1349594,0m2.500s
11,png,1,0,0,1,1349704,0m2.567s
12,png,0,1,0,0,3177535,0m4.964s
13,png,0,0,0,0,3177547,0m5.015s
14,png,0,0,0,1,3177558,0m5.013s
15,png,0,1,1,0,3177560,0m5.029s
2,tiff,1,0,1,1,1205837,0m1.135s
3,tiff,1,0,0,1,1205839,0m1.127s
4,tiff,0,1,0,0,3875954,0m1.316s
5,tiff,0,0,0,0,3876590,0m1.301s
6,tiff,0,0,0,1,3876648,0m1.374s
7,tiff,0,1,1,0,3876574,0m1.300s
8,png,1,1,1,1,1349911,0m2.583s
9,png,1,1,0,1,1349664,0m2.513s
