configurationID,format,j,jp2,jbig2,ccitt,size,realtime
0,tiff,1,1,1,1,15255483,0m8.315s
1,tiff,1,1,0,1,15255306,0m8.298s
10,png,1,0,1,1,15095099,0m24.900s
11,png,1,0,0,1,15095083,0m24.897s
12,png,0,1,0,0,14807391,0m31.647s
13,png,0,0,0,0,14807393,0m31.617s
14,png,0,0,0,1,14807399,0m31.602s
15,png,0,1,1,0,14807392,0m31.678s
2,tiff,1,0,1,1,15255264,0m8.285s
3,tiff,1,0,0,1,15255336,0m8.329s
4,tiff,0,1,0,0,14377156,0m8.791s
5,tiff,0,0,0,0,14377499,0m8.773s
6,tiff,0,0,0,1,14377222,0m8.769s
7,tiff,0,1,1,0,14377520,0m8.777s
8,png,1,1,1,1,15095121,0m24.870s
9,png,1,1,0,1,15095069,0m24.888s
